"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of Citable OA
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","194,635","19.924","Q1","2.66","9.18"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","NANOSCIENCE & NANOTECHNOLOGY","SCIE","194,635","19.924","Q1","2.66","9.18"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","PHYSICS, APPLIED","SCIE","194,635","19.924","Q1","2.66","9.18"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","WILEY-V C H VERLAG GMBH","1616-301X","1616-3028","PHYSICS, CONDENSED MATTER","SCIE","194,635","19.924","Q1","2.66","9.18"%,
"Nature Metabolism","NAT METAB","NATURE PORTFOLIO","N/A","2522-5812","ENDOCRINOLOGY & METABOLISM","SCIE","4,624","19.89","Q1","3.62","2.22"%,
"PhotoniX","PHOTONIX","SPRINGERNATURE","N/A","2662-1991","OPTICS","SCIE","514","19.818","Q1","3.28","97.73"%,
"Annual Review of Biophysics","ANNU REV BIOPHYS","ANNUAL REVIEWS","1936-122X","1936-1238","BIOPHYSICS","SCIE","4,209","19.763","Q1","1.69","0"%,
"TRENDS IN IMMUNOLOGY","TRENDS IMMUNOL","ELSEVIER SCI LTD","1471-4906","1471-4981","IMMUNOLOGY","SCIE","18,971","19.709","Q1","1.5","15"%,
"PROGRESS IN RETINAL AND EYE RESEARCH","PROG RETIN EYE RES","PERGAMON-ELSEVIER SCIENCE LTD","1350-9462","1873-1635","OPHTHALMOLOGY","SCIE","11,914","19.704","Q1","4.41","23.57"%,
"Nature Physics","NAT PHYS","NATURE PORTFOLIO","1745-2473","1745-2481","PHYSICS, MULTIDISCIPLINARY","SCIE","48,349","19.684","Q1","4.93","3.38"%,
"Emerging Microbes & Infections","EMERG MICROBES INFEC","TAYLOR & FRANCIS LTD","N/A","2222-1751","IMMUNOLOGY","SCIE","11,995","19.568","Q1","2.77","100"%,
"Emerging Microbes & Infections","EMERG MICROBES INFEC","TAYLOR & FRANCIS LTD","N/A","2222-1751","INFECTIOUS DISEASES","SCIE","11,995","19.568","Q1","2.77","100"%,
"Emerging Microbes & Infections","EMERG MICROBES INFEC","TAYLOR & FRANCIS LTD","N/A","2222-1751","MICROBIOLOGY","SCIE","11,995","19.568","Q1","2.77","100"%,
"Applied Physics Reviews","APPL PHYS REV","AIP Publishing","1931-9401","1931-9401","PHYSICS, APPLIED","SCIE","7,728","19.527","Q1","1.51","22.26"%,
"JOURNAL OF CLINICAL INVESTIGATION","J CLIN INVEST","AMER SOC CLINICAL INVESTIGATION INC","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","142,163","19.477","Q1","3.93","8.55"%,
"CRITICAL CARE","CRIT CARE","BMC","1364-8535","1466-609X","CRITICAL CARE MEDICINE","SCIE","40,414","19.344","Q1","1.79","99.66"%,
"Science Translational Medicine","SCI TRANSL MED","AMER ASSOC ADVANCEMENT SCIENCE","1946-6234","1946-6242","CELL BIOLOGY","SCIE","52,629","19.343","Q1","3.49","0"%,
"Science Translational Medicine","SCI TRANSL MED","AMER ASSOC ADVANCEMENT SCIENCE","1946-6234","1946-6242","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","52,629","19.343","Q1","3.49","0"%,
"Molecular Cell","MOL CELL","CELL PRESS","1097-2765","1097-4164","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","94,258","19.328","Q1","2.88","17.64"%,
"Molecular Cell","MOL CELL","CELL PRESS","1097-2765","1097-4164","CELL BIOLOGY","SCIE","94,258","19.328","Q1","2.88","17.64"%,
"AMERICAN JOURNAL OF PSYCHIATRY","AM J PSYCHIAT","AMER PSYCHIATRIC PUBLISHING, INC","0002-953X","1535-7228","PSYCHIATRY","SCIE","48,014","19.248","Q1","4.18","0"%,
"AMERICAN JOURNAL OF PSYCHIATRY","AM J PSYCHIAT","AMER PSYCHIATRIC PUBLISHING, INC","0002-953X","1535-7228","PSYCHIATRY","SSCI","48,014","19.248","Q1","4.18","0"%,
"Academy of Management Annals","ACAD MANAG ANN","ACAD MANAGEMENT","1941-6520","1941-6067","BUSINESS","SSCI","8,244","19.241","Q1","3.73","0"%,
"Academy of Management Annals","ACAD MANAG ANN","ACAD MANAGEMENT","1941-6520","1941-6067","MANAGEMENT","SSCI","8,244","19.241","Q1","3.73","0"%,
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","ACADEMIC PRESS INC ELSEVIER SCIENCE","0889-1591","1090-2139","IMMUNOLOGY","SCIE","31,770","19.227","Q1","2.77","20.22"%,
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","ACADEMIC PRESS INC ELSEVIER SCIENCE","0889-1591","1090-2139","NEUROSCIENCES","SCIE","31,770","19.227","Q1","2.77","20.22"%,
"BRAIN BEHAVIOR AND IMMUNITY","BRAIN BEHAV IMMUN","ACADEMIC PRESS INC ELSEVIER SCIENCE","0889-1591","1090-2139","PSYCHIATRY","SCIE","31,770","19.227","Q1","2.77","20.22"%,
"Trends in Cancer","TRENDS CANCER","CELL PRESS","2405-8025","2405-8033","ONCOLOGY","SCIE","6,389","19.161","Q1","1.81","17.35"%,
"NUCLEIC ACIDS RESEARCH","NUCLEIC ACIDS RES","OXFORD UNIV PRESS","0305-1048","1362-4962","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","284,490","19.16","Q1","3.09","99.79"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2267","2168-2275","AUTOMATION & CONTROL SYSTEMS","SCIE","38,676","19.118","Q1","3.21","2.59"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2267","2168-2275","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","38,676","19.118","Q1","3.21","2.59"%,
"IEEE Transactions on Cybernetics","IEEE T CYBERNETICS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2267","2168-2275","COMPUTER SCIENCE, CYBERNETICS","SCIE","38,676","19.118","Q1","3.21","2.59"%,
"Nature Ecology & Evolution","NAT ECOL EVOL","NATURE PORTFOLIO","2397-334X","2397-334X","ECOLOGY","SCIE","15,585","19.1","Q1","3.63","7.94"%,
"Nature Ecology & Evolution","NAT ECOL EVOL","NATURE PORTFOLIO","2397-334X","2397-334X","EVOLUTIONARY BIOLOGY","SCIE","15,585","19.1","Q1","3.63","7.94"%,
"Nano Energy","NANO ENERGY","ELSEVIER","2211-2855","2211-3282","CHEMISTRY, PHYSICAL","SCIE","98,948","19.069","Q1","2.94","2.57"%,
"Nano Energy","NANO ENERGY","ELSEVIER","2211-2855","2211-3282","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","98,948","19.069","Q1","2.94","2.57"%,
"Nano Energy","NANO ENERGY","ELSEVIER","2211-2855","2211-3282","NANOSCIENCE & NANOTECHNOLOGY","SCIE","98,948","19.069","Q1","2.94","2.57"%,
"Nano Energy","NANO ENERGY","ELSEVIER","2211-2855","2211-3282","PHYSICS, APPLIED","SCIE","98,948","19.069","Q1","2.94","2.57"%,
"QUARTERLY JOURNAL OF ECONOMICS","Q J ECON","OXFORD UNIV PRESS INC","0033-5533","1531-4650","ECONOMICS","SSCI","41,001","19.013","Q1","6.8","15.33"%,
"KIDNEY INTERNATIONAL","KIDNEY INT","ELSEVIER SCIENCE INC","0085-2538","1523-1755","UROLOGY & NEPHROLOGY","SCIE","57,360","18.998","Q1","4.48","26.66"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY","SCIE","13,207","18.962","Q1","1.46","6.67"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","13,207","18.962","Q1","1.46","6.67"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","NANOSCIENCE & NANOTECHNOLOGY","SCIE","13,207","18.962","Q1","1.46","6.67"%,
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","17,621","18.958","Q1","5.51","9.19"%,
"Molecular Neurodegeneration","MOL NEURODEGENER","BMC","N/A","1750-1326","NEUROSCIENCES","SCIE","8,376","18.897","Q1","2.68","100"%,
"ACS Central Science","ACS CENTRAL SCI","AMER CHEMICAL SOC","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY","SCIE","16,220","18.728","Q1","2.91","86.87"%,
"Neuron","NEURON","CELL PRESS","0896-6273","1097-4199","NEUROSCIENCES","SCIE","121,714","18.688","Q1","3.57","13.14"%,
"BRITISH JOURNAL OF SPORTS MEDICINE","BRIT J SPORT MED","BMJ PUBLISHING GROUP","0306-3674","1473-0480","SPORT SCIENCES","SCIE","36,687","18.479","Q1","3.69","23.08"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE PORTFOLIO","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","34,000","18.361","Q1","3","4.29"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE PORTFOLIO","1545-9993","1545-9985","BIOPHYSICS","SCIE","34,000","18.361","Q1","3","4.29"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE PORTFOLIO","1545-9993","1545-9985","CELL BIOLOGY","SCIE","34,000","18.361","Q1","3","4.29"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","ELSEVIER SCI LTD","0966-842X","1878-4380","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","19,958","18.23","Q1","1.56","19.75"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","ELSEVIER SCI LTD","0966-842X","1878-4380","MICROBIOLOGY","SCIE","19,958","18.23","Q1","1.56","19.75"%,
"EUROPEAN JOURNAL OF HEART FAILURE","EUR J HEART FAIL","WILEY","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","19,629","18.174","Q1","3.4","33.12"%,
"ACS Nano","ACS NANO","AMER CHEMICAL SOC","1936-0851","1936-086X","CHEMISTRY, MULTIDISCIPLINARY","SCIE","224,439","18.027","Q1","2.51","9.57"%,
"ACS Nano","ACS NANO","AMER CHEMICAL SOC","1936-0851","1936-086X","CHEMISTRY, PHYSICAL","SCIE","224,439","18.027","Q1","2.51","9.57"%,
"ACS Nano","ACS NANO","AMER CHEMICAL SOC","1936-0851","1936-086X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","224,439","18.027","Q1","2.51","9.57"%,
"ACS Nano","ACS NANO","AMER CHEMICAL SOC","1936-0851","1936-086X","NANOSCIENCE & NANOTECHNOLOGY","SCIE","224,439","18.027","Q1","2.51","9.57"%,
"GENOME BIOLOGY","GENOME BIOL","BMC","1474-760X","1474-760X","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","66,281","18.01","Q1","3.27","99.53"%,
"GENOME BIOLOGY","GENOME BIOL","BMC","1474-760X","1474-760X","GENETICS & HEREDITY","SCIE","66,281","18.01","Q1","3.27","99.53"%,
"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","J ROY SOC MED","SAGE PUBLICATIONS LTD","0141-0768","1758-1095","MEDICINE, GENERAL & INTERNAL","SCIE","5,569","18","Q1","1","35.59"%,
"Annual Review of Environment and Resources","ANNU REV ENV RESOUR","ANNUAL REVIEWS","1543-5938","1545-2050","ENVIRONMENTAL SCIENCES","SCIE","6,873","17.909","Q1","1.21","94.83"%,
"Annual Review of Environment and Resources","ANNU REV ENV RESOUR","ANNUAL REVIEWS","1543-5938","1545-2050","ENVIRONMENTAL STUDIES","SSCI","6,873","17.909","Q1","1.21","94.83"%,
"ADVANCED DRUG DELIVERY REVIEWS","ADV DRUG DELIVER REV","ELSEVIER","0169-409X","1872-8294","PHARMACOLOGY & PHARMACY","SCIE","47,828","17.873","Q1","2.33","16.7"%,
"REPORTS ON PROGRESS IN PHYSICS","REP PROG PHYS","IOP Publishing Ltd","0034-4885","1361-6633","PHYSICS, MULTIDISCIPLINARY","SCIE","21,972","17.802","Q1","1.85","0"%,
"Annual Review of Nuclear and Particle Science","ANNU REV NUCL PART S","ANNUAL REVIEWS","0163-8998","1545-4134","PHYSICS, NUCLEAR","SCIE","3,687","17.727","Q1","2.1","26.42"%,
"Annual Review of Nuclear and Particle Science","ANNU REV NUCL PART S","ANNUAL REVIEWS","0163-8998","1545-4134","PHYSICS, PARTICLES & FIELDS","SCIE","3,687","17.727","Q1","2.1","26.42"%,
"Nature Communications","NAT COMMUN","NATURE PORTFOLIO","N/A","2041-1723","MULTIDISCIPLINARY SCIENCES","SCIE","604,740","17.694","Q1","3.13","99.44"%,
"BIOTECHNOLOGY ADVANCES","BIOTECHNOL ADV","PERGAMON-ELSEVIER SCIENCE LTD","0734-9750","1873-1899","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","26,619","17.681","Q1","1.59","14.53"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","ELSEVIER SCI LTD","1359-6101","1879-0305","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","9,002","17.66","Q1","1.4","15.95"%,
"CYTOKINE & GROWTH FACTOR REVIEWS","CYTOKINE GROWTH F R","ELSEVIER SCI LTD","1359-6101","1879-0305","CELL BIOLOGY","SCIE","9,002","17.66","Q1","1.4","15.95"%,
"TRENDS IN PHARMACOLOGICAL SCIENCES","TRENDS PHARMACOL SCI","ELSEVIER SCIENCE LONDON","0165-6147","1873-3735","PHARMACOLOGY & PHARMACY","SCIE","16,714","17.638","Q1","1.91","13.36"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","ROCKEFELLER UNIV PRESS","0022-1007","1540-9538","IMMUNOLOGY","SCIE","79,388","17.579","Q1","3.17","99.85"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","ROCKEFELLER UNIV PRESS","0022-1007","1540-9538","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","79,388","17.579","Q1","3.17","99.85"%,
"Information Fusion","INFORM FUSION","ELSEVIER","1566-2535","1872-6305","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","13,268","17.564","Q1","4.23","6.81"%,
"Information Fusion","INFORM FUSION","ELSEVIER","1566-2535","1872-6305","COMPUTER SCIENCE, THEORY & METHODS","SCIE","13,268","17.564","Q1","4.23","6.81"%,
"Advanced Science","ADV SCI","WILEY","N/A","2198-3844","CHEMISTRY, MULTIDISCIPLINARY","SCIE","42,938","17.521","Q1","2.23","87.94"%,
"Advanced Science","ADV SCI","WILEY","N/A","2198-3844","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","42,938","17.521","Q1","2.23","87.94"%,
"Advanced Science","ADV SCI","WILEY","N/A","2198-3844","NANOSCIENCE & NANOTECHNOLOGY","SCIE","42,938","17.521","Q1","2.23","87.94"%,
"Advances in Applied Mechanics","ADV APPL MECH","ACADEMIC PRESS INC ELSEVIER SCIENCE","0065-2156","N/A","ENGINEERING, MECHANICAL","SCIE","1,696","17.4","Q1","1.07","0"%,
"Advances in Applied Mechanics","ADV APPL MECH","ACADEMIC PRESS INC ELSEVIER SCIENCE","0065-2156","N/A","MECHANICS","SCIE","1,696","17.4","Q1","1.07","0"%,
"AUTOIMMUNITY REVIEWS","AUTOIMMUN REV","ELSEVIER","1568-9972","1873-0183","IMMUNOLOGY","SCIE","15,068","17.39","Q1","1.42","10.14"%,
"Nature Plants","NAT PLANTS","NATURE PORTFOLIO","2055-026X","2055-0278","PLANT SCIENCES","SCIE","13,007","17.352","Q1","4.56","6.62"%,
"Journal of Extracellular Vesicles","J EXTRACELL VESICLES","WILEY","N/A","2001-3078","CELL BIOLOGY","SCIE","11,679","17.337","Q1","2.54","90.18"%,
"HEPATOLOGY","HEPATOLOGY","WILEY","0270-9139","1527-3350","GASTROENTEROLOGY & HEPATOLOGY","SCIE","84,919","17.298","Q1","3.58","18.6"%,
"HUMAN REPRODUCTION UPDATE","HUM REPROD UPDATE","OXFORD UNIV PRESS","1355-4786","1460-2369","OBSTETRICS & GYNECOLOGY","SCIE","13,382","17.179","Q1","3.2","21.01"%,
"HUMAN REPRODUCTION UPDATE","HUM REPROD UPDATE","OXFORD UNIV PRESS","1355-4786","1460-2369","REPRODUCTIVE BIOLOGY","SCIE","13,382","17.179","Q1","3.2","21.01"%,
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","ELSEVIER","1389-5567","1873-2739","CHEMISTRY, PHYSICAL","SCIE","5,048","17.176","Q1","0.88","0"%,
"DIABETES CARE","DIABETES CARE","AMER DIABETES ASSOC","0149-5992","1935-5548","ENDOCRINOLOGY & METABOLISM","SCIE","89,218","17.155","Q1","3.55","0.2"%,
"EClinicalMedicine","ECLINICALMEDICINE","ELSEVIER","N/A","2589-5370","MEDICINE, GENERAL & INTERNAL","SCIE","8,029","17.033","Q1","2.36","94.13"%,
"Nature Protocols","NAT PROTOC","NATURE PORTFOLIO","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS","SCIE","56,523","17.021","Q1","3.37","1.34"%,
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1044-579X","1096-3650","ONCOLOGY","SCIE","14,777","17.012","Q1","1.95","12.98"%,
"Cell Reports Medicine","CELL REP MED","ELSEVIER","2666-3791","2666-3791","CELL BIOLOGY","SCIE","2,183","16.988","Q1","2.79","91.34"%,
"Cell Reports Medicine","CELL REP MED","ELSEVIER","2666-3791","2666-3791","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","2,183","16.988","Q1","2.79","91.34"%,
"TRENDS IN NEUROSCIENCES","TRENDS NEUROSCI","ELSEVIER SCIENCE LONDON","0166-2236","1878-108X","NEUROSCIENCES","SCIE","24,595","16.978","Q1","1.64","17.59"%,
"CANADIAN MEDICAL ASSOCIATION JOURNAL","CAN MED ASSOC J","CMA-CANADIAN MEDICAL ASSOC","0820-3946","1488-2329","MEDICINE, GENERAL & INTERNAL","SCIE","21,958","16.876","Q1","2.07","99.68"%,
"Bioactive Materials","BIOACT MATER","KEAI PUBLISHING LTD","N/A","2452-199X","ENGINEERING, BIOMEDICAL","SCIE","6,655","16.874","Q1","2.32","99.8"%,
"Bioactive Materials","BIOACT MATER","KEAI PUBLISHING LTD","N/A","2452-199X","MATERIALS SCIENCE, BIOMATERIALS","SCIE","6,655","16.874","Q1","2.32","99.8"%,
"Microbiome","MICROBIOME","BMC","2049-2618","2049-2618","MICROBIOLOGY","SCIE","17,599","16.837","Q1","3.02","99.81"%,
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","WILEY-V C H VERLAG GMBH","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY","SCIE","460,370","16.823","Q1","2.39","18.42"%,
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","RENEW SUST ENERG REV","PERGAMON-ELSEVIER SCIENCE LTD","1364-0321","1879-0690","ENERGY & FUELS","SCIE","162,005","16.799","Q1","1.26","11.77"%,
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","RENEW SUST ENERG REV","PERGAMON-ELSEVIER SCIENCE LTD","1364-0321","1879-0690","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","162,005","16.799","Q1","1.26","11.77"%,
"Chemical Engineering Journal","CHEM ENG J","ELSEVIER SCIENCE SA","1385-8947","1873-3212","ENGINEERING, CHEMICAL","SCIE","268,318","16.744","Q1","2.13","2.52"%,
"Chemical Engineering Journal","CHEM ENG J","ELSEVIER SCIENCE SA","1385-8947","1873-3212","ENGINEERING, ENVIRONMENTAL","SCIE","268,318","16.744","Q1","2.13","2.52"%,
"JAMA Surgery","JAMA SURG","AMER MEDICAL ASSOC","2168-6254","2168-6262","SURGERY","SCIE","15,039","16.685","Q1","4.86","6.3"%,
"Alzheimers & Dementia","ALZHEIMERS DEMENT","WILEY","1552-5260","1552-5279","CLINICAL NEUROLOGY","SCIE","26,516","16.655","Q1","4.11","36.24"%,
"Annual Review of Marine Science","ANNU REV MAR SCI","ANNUAL REVIEWS","1941-1405","1941-0611","GEOCHEMISTRY & GEOPHYSICS","SCIE","6,185","16.561","Q1","2.21","1.61"%,
"Annual Review of Marine Science","ANNU REV MAR SCI","ANNUAL REVIEWS","1941-1405","1941-0611","MARINE & FRESHWATER BIOLOGY","SCIE","6,185","16.561","Q1","2.21","1.61"%,
"Annual Review of Marine Science","ANNU REV MAR SCI","ANNUAL REVIEWS","1941-1405","1941-0611","OCEANOGRAPHY","SCIE","6,185","16.561","Q1","2.21","1.61"%,
"Mycosphere","MYCOSPHERE","MYCOSPHERE PRESS","2077-7000","2077-7019","MYCOLOGY","SCIE","1,968","16.525","Q1","2.66","100"%,
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1089-778X","1941-0026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","20,841","16.497","Q1","3.55","5.86"%,
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1089-778X","1941-0026","COMPUTER SCIENCE, THEORY & METHODS","SCIE","20,841","16.497","Q1","3.55","5.86"%,
"CURRENT PROBLEMS IN CARDIOLOGY","CURR PROB CARDIOLOGY","MOSBY-ELSEVIER","0146-2806","1535-6280","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,477","16.464","Q1","1.7","2.63"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","ANNUAL REVIEWS","0362-1642","1545-4304","PHARMACOLOGY & PHARMACY","SCIE","9,807","16.459","Q1","2.3","0"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","ANNUAL REVIEWS","0362-1642","1545-4304","TOXICOLOGY","SCIE","9,807","16.459","Q1","2.3","0"%,
"Nature Reviews Urology","NAT REV UROL","NATURE PORTFOLIO","1759-4812","1759-4820","UROLOGY & NEPHROLOGY","SCIE","6,129","16.43","Q1","2.77","3.08"%,
"Journal of the American Chemical Society","J AM CHEM SOC","AMER CHEMICAL SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY","SCIE","631,578","16.383","Q1","2.64","9.52"%,
"AMERICAN PSYCHOLOGIST","AM PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0003-066X","1935-990X","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","40,383","16.358","Q1","4.76","0.36"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","ELSEVIER","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","8,986","16.337","Q1","1.66","20"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","ELSEVIER","0098-2997","1872-9452","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","8,986","16.337","Q1","1.66","20"%,
"Annual Review of Physical Chemistry","ANNU REV PHYS CHEM","ANNUAL REVIEWS","0066-426X","1545-1593","CHEMISTRY, PHYSICAL","SCIE","9,504","16.314","Q1","0.81","0"%,
"Annual Review of Earth and Planetary Sciences","ANNU REV EARTH PL SC","ANNUAL REVIEWS","0084-6597","1545-4495","ASTRONOMY & ASTROPHYSICS","SCIE","11,267","16.304","Q1","1.56","0"%,
"Annual Review of Earth and Planetary Sciences","ANNU REV EARTH PL SC","ANNUAL REVIEWS","0084-6597","1545-4495","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","11,267","16.304","Q1","1.56","0"%,
"Nature Chemical Biology","NAT CHEM BIOL","NATURE PORTFOLIO","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","31,123","16.284","Q1","2.84","1.3"%,
"Annual Review of Microbiology","ANNU REV MICROBIOL","ANNUAL REVIEWS","0066-4227","1545-3251","MICROBIOLOGY","SCIE","12,537","16.232","Q1","1.2","0"%,
"PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW","PERS SOC PSYCHOL REV","SAGE PUBLICATIONS INC","1088-8683","1532-7957","PSYCHOLOGY, SOCIAL","SSCI","9,843","16.161","Q1","3.92","15.91"%,
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","CENTERS DISEASE CONTROL & PREVENTION","1080-6040","1080-6059","IMMUNOLOGY","SCIE","48,546","16.126","Q1","1.65","97.44"%,
"EMERGING INFECTIOUS DISEASES","EMERG INFECT DIS","CENTERS DISEASE CONTROL & PREVENTION","1080-6040","1080-6059","INFECTIOUS DISEASES","SCIE","48,546","16.126","Q1","1.65","97.44"%,
"Lancet HIV","LANCET HIV","ELSEVIER INC","2352-3018","2352-3018","IMMUNOLOGY","SCIE","5,595","16.07","Q1","2.27","15.42"%,
"Lancet HIV","LANCET HIV","ELSEVIER INC","2352-3018","2352-3018","INFECTIOUS DISEASES","SCIE","5,595","16.07","Q1","2.27","15.42"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","ELSEVIER SCIENCE INC","1936-878X","1876-7591","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","17,107","16.051","Q1","3.26","11.4"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","ELSEVIER SCIENCE INC","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","17,107","16.051","Q1","3.26","11.4"%,
"Annual Review of Medicine","ANNU REV MED","ANNUAL REVIEWS","0066-4219","1545-326X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,699","16.048","Q1","1.94","0"%,
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","J THROMB HAEMOST","WILEY","1538-7933","1538-7836","HEMATOLOGY","SCIE","30,525","16.041","Q1","2.66","24.83"%,
"JOURNAL OF THROMBOSIS AND HAEMOSTASIS","J THROMB HAEMOST","WILEY","1538-7933","1538-7836","PERIPHERAL VASCULAR DISEASE","SCIE","30,525","16.041","Q1","2.66","24.83"%,
"TRENDS IN FOOD SCIENCE & TECHNOLOGY","TRENDS FOOD SCI TECH","ELSEVIER SCIENCE LONDON","0924-2244","1879-3053","FOOD SCIENCE & TECHNOLOGY","SCIE","37,613","16.002","Q1","1.67","9.04"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","SPRINGER","0001-6322","1432-0533","CLINICAL NEUROLOGY","SCIE","30,046","15.887","Q1","3.64","57.18"%,
