"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of Citable OA
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","IEEE COMPUTER SOC","0162-8828","1939-3539","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","59,682","16.389","Q1","5.24","9.38"%,
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","IEEE T PATTERN ANAL","IEEE COMPUTER SOC","0162-8828","1939-3539","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","59,682","16.389","Q1","5.24","9.38"%,
"Annual Review of Materials Research","ANNU REV MATER RES","ANNUAL REVIEWS","1531-7331","1545-4118","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","9,204","16.286","Q1","0.83","0"%,
"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS","PROG PART NUCL PHYS","ELSEVIER","0146-6410","1873-2224","PHYSICS, NUCLEAR","SCIE","4,714","16.281","Q1","2.63","6.6"%,
"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS","PROG PART NUCL PHYS","ELSEVIER","0146-6410","1873-2224","PHYSICS, PARTICLES & FIELDS","SCIE","4,714","16.281","Q1","2.63","6.6"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","OXFORD UNIV PRESS","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","61,557","16.24","Q1","2.87","56.7"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","OXFORD UNIV PRESS","0737-4038","1537-1719","EVOLUTIONARY BIOLOGY","SCIE","61,557","16.24","Q1","2.87","56.7"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","OXFORD UNIV PRESS","0737-4038","1537-1719","GENETICS & HEREDITY","SCIE","61,557","16.24","Q1","2.87","56.7"%,
"JAMA Pediatrics","JAMA PEDIATR","AMER MEDICAL ASSOC","2168-6203","2168-6211","PEDIATRICS","SCIE","14,720","16.193","Q1","5.86","9.78"%,
"Annual Review of Condensed Matter Physics","ANNU REV CONDEN MA P","ANNUAL REVIEWS","1947-5454","1947-5462","PHYSICS, CONDENSED MATTER","SCIE","4,103","16.109","Q1","0.94","0"%,
"STUDIES IN MYCOLOGY","STUD MYCOL","CENTRAALBUREAU SCHIMMELCULTURE","0166-0616","1872-9797","MYCOLOGY","SCIE","4,285","16.097","Q1","5.62","100"%,
"Autophagy","AUTOPHAGY","TAYLOR & FRANCIS INC","1554-8627","1554-8635","CELL BIOLOGY","SCIE","25,343","16.016","Q1","1.71","15.99"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","28,624","15.992","Q1","3.21","42.69"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","NEUROSCIENCES","SCIE","28,624","15.992","Q1","3.21","42.69"%,
"MOLECULAR PSYCHIATRY","MOL PSYCHIATR","SPRINGERNATURE","1359-4184","1476-5578","PSYCHIATRY","SCIE","28,624","15.992","Q1","3.21","42.69"%,
"ACS Nano","ACS NANO","AMER CHEMICAL SOC","1936-0851","1936-086X","CHEMISTRY, MULTIDISCIPLINARY","SCIE","195,525","15.881","Q1","2.47","9.35"%,
"ACS Nano","ACS NANO","AMER CHEMICAL SOC","1936-0851","1936-086X","CHEMISTRY, PHYSICAL","SCIE","195,525","15.881","Q1","2.47","9.35"%,
"ACS Nano","ACS NANO","AMER CHEMICAL SOC","1936-0851","1936-086X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","195,525","15.881","Q1","2.47","9.35"%,
"ACS Nano","ACS NANO","AMER CHEMICAL SOC","1936-0851","1936-086X","NANOSCIENCE & NANOTECHNOLOGY","SCIE","195,525","15.881","Q1","2.47","9.35"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","SPRINGERNATURE","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","27,701","15.828","Q1","2.08","43.54"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","SPRINGERNATURE","1350-9047","1476-5403","CELL BIOLOGY","SCIE","27,701","15.828","Q1","2.08","43.54"%,
"Nature Plants","NAT PLANTS","NATURE RESEARCH","2055-026X","2055-0278","PLANT SCIENCES","SCIE","9,424","15.793","Q1","4.63","4.59"%,
"Physical Review X","PHYS REV X","AMER PHYSICAL SOC","2160-3308","2160-3308","PHYSICS, MULTIDISCIPLINARY","SCIE","22,327","15.762","Q1","4.53","99.62"%,
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1044-579X","1096-3650","ONCOLOGY","SCIE","11,552","15.707","Q1","1.75","15.97"%,
"SYSTEMATIC BIOLOGY","SYST BIOL","OXFORD UNIV PRESS","1063-5157","1076-836X","EVOLUTIONARY BIOLOGY","SCIE","19,416","15.683","Q1","2.91","30.22"%,
"HUMAN REPRODUCTION UPDATE","HUM REPROD UPDATE","OXFORD UNIV PRESS","1355-4786","1460-2369","OBSTETRICS & GYNECOLOGY","SCIE","12,336","15.61","Q1","3.47","18.85"%,
"HUMAN REPRODUCTION UPDATE","HUM REPROD UPDATE","OXFORD UNIV PRESS","1355-4786","1460-2369","REPRODUCTIVE BIOLOGY","SCIE","12,336","15.61","Q1","3.47","18.85"%,
"Journal of Thoracic Oncology","J THORAC ONCOL","ELSEVIER SCIENCE INC","1556-0864","1556-1380","ONCOLOGY","SCIE","24,405","15.609","Q1","2.75","16.47"%,
"Journal of Thoracic Oncology","J THORAC ONCOL","ELSEVIER SCIENCE INC","1556-0864","1556-1380","RESPIRATORY SYSTEM","SCIE","24,405","15.609","Q1","2.75","16.47"%,
"Matter","MATTER-US","ELSEVIER","2590-2393","2590-2385","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","2,357","15.589","Q1","2.16","7.33"%,
"QUARTERLY JOURNAL OF ECONOMICS","Q J ECON","OXFORD UNIV PRESS INC","0033-5533","1531-4650","ECONOMICS","SSCI","38,427","15.563","Q1","6.19","16.67"%,
"EUROPEAN JOURNAL OF HEART FAILURE","EUR J HEART FAIL","WILEY","1388-9842","1879-0844","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","17,114","15.534","Q1","3.17","26.74"%,
"Nature Machine Intelligence","NAT MACH INTELL","SPRINGERNATURE","N/A","2522-5839","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,212","15.508","Q1","3.14","0"%,
"Nature Machine Intelligence","NAT MACH INTELL","SPRINGERNATURE","N/A","2522-5839","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,212","15.508","Q1","3.14","0"%,
"Annual Review of Microbiology","ANNU REV MICROBIOL","ANNUAL REVIEWS","0066-4227","1545-3251","MICROBIOLOGY","SCIE","12,032","15.5","Q1","1.37","0"%,
"ADVANCED DRUG DELIVERY REVIEWS","ADV DRUG DELIVER REV","ELSEVIER","0169-409X","1872-8294","PHARMACOLOGY & PHARMACY","SCIE","43,770","15.47","Q1","2.38","10.47"%,
"Nature Ecology & Evolution","NAT ECOL EVOL","NATURE RESEARCH","2397-334X","2397-334X","ECOLOGY","SCIE","10,794","15.46","Q1","3.43","7.06"%,
"Nature Ecology & Evolution","NAT ECOL EVOL","NATURE RESEARCH","2397-334X","2397-334X","EVOLUTIONARY BIOLOGY","SCIE","10,794","15.46","Q1","3.43","7.06"%,
"Journal of the American Chemical Society","J AM CHEM SOC","AMER CHEMICAL SOC","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY","SCIE","609,264","15.419","Q1","2.77","9.65"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE RESEARCH","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","32,038","15.369","Q1","2.86","0.53"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE RESEARCH","1545-9993","1545-9985","BIOPHYSICS","SCIE","32,038","15.369","Q1","2.86","0.53"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE RESEARCH","1545-9993","1545-9985","CELL BIOLOGY","SCIE","32,038","15.369","Q1","2.86","0.53"%,
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","ANGEW CHEM INT EDIT","WILEY-V C H VERLAG GMBH","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY","SCIE","410,750","15.336","Q1","2.38","15.99"%,
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","PERGAMON-ELSEVIER SCIENCE LTD","0163-7827","1873-2194","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","7,330","15.136","Q1","1.77","10.81"%,
"PROGRESS IN LIPID RESEARCH","PROG LIPID RES","PERGAMON-ELSEVIER SCIENCE LTD","0163-7827","1873-2194","NUTRITION & DIETETICS","SCIE","7,330","15.136","Q1","1.77","10.81"%,
"Energy & Environmental Materials","ENERGY ENVIRON MATER","WILEY","N/A","2575-0356","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","729","15.122","Q1","1.19","0"%,
"Nature Chemical Biology","NAT CHEM BIOL","NATURE RESEARCH","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","27,429","15.04","Q1","3.11","0"%,
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","RENEW SUST ENERG REV","PERGAMON-ELSEVIER SCIENCE LTD","1364-0321","1879-0690","ENERGY & FUELS","SCIE","132,560","14.982","Q1","1.05","8.02"%,
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","RENEW SUST ENERG REV","PERGAMON-ELSEVIER SCIENCE LTD","1364-0321","1879-0690","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE","132,560","14.982","Q1","1.05","8.02"%,
"Nature Communications","NAT COMMUN","NATURE RESEARCH","2041-1723","2041-1723","MULTIDISCIPLINARY SCIENCES","SCIE","453,215","14.919","Q1","2.66","99.81"%,
"Protein & Cell","PROTEIN CELL","SPRINGER","1674-800X","1674-8018","CELL BIOLOGY","SCIE","5,352","14.87","Q1","1.21","100"%,
"FORBES","FORBES","FORBES INC","0015-6914","0015-6914","BUSINESS, FINANCE","SSCI","5,514","14.826","Q1","0","0"%,
"TRENDS IN PHARMACOLOGICAL SCIENCES","TRENDS PHARMACOL SCI","ELSEVIER SCIENCE LONDON","0165-6147","1873-3735","PHARMACOLOGY & PHARMACY","SCIE","15,309","14.819","Q1","2.02","8.7"%,
"JOURNAL OF CLINICAL INVESTIGATION","J CLIN INVEST","AMER SOC CLINICAL INVESTIGATION INC","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","132,303","14.808","Q1","3.78","9.12"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","ELSEVIER SCIENCE INC","1936-878X","1876-7591","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","14,398","14.805","Q1","3.41","10.02"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","ELSEVIER SCIENCE INC","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","14,398","14.805","Q1","3.41","10.02"%,
"JAMA Surgery","JAMA SURG","AMER MEDICAL ASSOC","2168-6254","2168-6262","SURGERY","SCIE","12,793","14.766","Q1","4.79","4.3"%,
"JAMA Cardiology","JAMA CARDIOL","AMER MEDICAL ASSOC","2380-6583","2380-6591","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","11,453","14.676","Q1","3.1","6.65"%,
"Microbiome","MICROBIOME","BMC","2049-2618","2049-2618","MICROBIOLOGY","SCIE","12,052","14.652","Q1","3.14","99.62"%,
"Bioactive Materials","BIOACT MATER","KEAI PUBLISHING LTD","N/A","2452-199X","ENGINEERING, BIOMEDICAL","SCIE","2,145","14.593","Q1","1.69","99.47"%,
"Bioactive Materials","BIOACT MATER","KEAI PUBLISHING LTD","N/A","2452-199X","MATERIALS SCIENCE, BIOMATERIALS","SCIE","2,145","14.593","Q1","1.69","99.47"%,
"ACS Central Science","ACS CENTRAL SCI","AMER CHEMICAL SOC","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY","SCIE","11,097","14.553","Q1","2.54","99.82"%,
"Nature Astronomy","NAT ASTRON","NATURE RESEARCH","2397-3366","2397-3366","ASTRONOMY & ASTROPHYSICS","SCIE","5,524","14.437","Q1","2.57","0"%,
"Nature Reviews Urology","NAT REV UROL","NATURE RESEARCH","1759-4812","1759-4820","UROLOGY & NEPHROLOGY","SCIE","5,267","14.432","Q1","2.43","3.79"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","ROCKEFELLER UNIV PRESS","0022-1007","1540-9538","IMMUNOLOGY","SCIE","74,805","14.307","Q1","3.42","99.66"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","ROCKEFELLER UNIV PRESS","0022-1007","1540-9538","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","74,805","14.307","Q1","3.42","99.66"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","ELSEVIER","0098-2997","1872-9452","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","8,136","14.235","Q1","1.68","24.31"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","ELSEVIER","0098-2997","1872-9452","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","8,136","14.235","Q1","1.68","24.31"%,
"BIOTECHNOLOGY ADVANCES","BIOTECHNOL ADV","PERGAMON-ELSEVIER SCIENCE LTD","0734-9750","1873-1899","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","23,792","14.227","Q1","1.5","9.92"%,
"Trends in Cancer","TRENDS CANCER","CELL PRESS","2405-8025","2405-8033","ONCOLOGY","SCIE","4,237","14.226","Q1","1.49","12.36"%,
"Annual Review of Nuclear and Particle Science","ANNU REV NUCL PART S","ANNUAL REVIEWS","0163-8998","1545-4134","PHYSICS, NUCLEAR","SCIE","3,084","14.219","Q1","1.65","40.82"%,
"Annual Review of Nuclear and Particle Science","ANNU REV NUCL PART S","ANNUAL REVIEWS","0163-8998","1545-4134","PHYSICS, PARTICLES & FIELDS","SCIE","3,084","14.219","Q1","1.65","40.82"%,
"Molecular Neurodegeneration","MOL NEURODEGENER","BMC","N/A","1750-1326","NEUROSCIENCES","SCIE","6,772","14.195","Q1","2.45","100"%,
"Small Methods","SMALL METHODS","WILEY-V C H VERLAG GMBH","2366-9608","2366-9608","CHEMISTRY, PHYSICAL","SCIE","7,188","14.188","Q1","1.35","6.33"%,
"Small Methods","SMALL METHODS","WILEY-V C H VERLAG GMBH","2366-9608","2366-9608","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","7,188","14.188","Q1","1.35","6.33"%,
"Small Methods","SMALL METHODS","WILEY-V C H VERLAG GMBH","2366-9608","2366-9608","NANOSCIENCE & NANOTECHNOLOGY","SCIE","7,188","14.188","Q1","1.35","6.33"%,
"Science Advances","SCI ADV","AMER ASSOC ADVANCEMENT SCIENCE","2375-2548","2375-2548","MULTIDISCIPLINARY SCIENCES","SCIE","65,205","14.143","Q1","2.71","99.72"%,
"INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT","INT J INFORM MANAGE","ELSEVIER SCI LTD","0268-4012","1873-4707","INFORMATION SCIENCE & LIBRARY SCIENCE","SSCI","12,245","14.098","Q1","4.9","6.85"%,
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","ANNUAL REVIEWS","1543-592X","1545-2069","ECOLOGY","SCIE","23,596","13.915","Q1","1.43","0"%,
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","ANNUAL REVIEWS","1543-592X","1545-2069","EVOLUTIONARY BIOLOGY","SCIE","23,596","13.915","Q1","1.43","0"%,
"Annual Review of Marine Science","ANNU REV MAR SCI","ANNUAL REVIEWS","1941-1405","1941-0611","GEOCHEMISTRY & GEOPHYSICS","SCIE","5,492","13.85","Q1","2.45","1.64"%,
"Annual Review of Marine Science","ANNU REV MAR SCI","ANNUAL REVIEWS","1941-1405","1941-0611","MARINE & FRESHWATER BIOLOGY","SCIE","5,492","13.85","Q1","2.45","1.64"%,
"Annual Review of Marine Science","ANNU REV MAR SCI","ANNUAL REVIEWS","1941-1405","1941-0611","OCEANOGRAPHY","SCIE","5,492","13.85","Q1","2.45","1.64"%,
"TRENDS IN NEUROSCIENCES","TRENDS NEUROSCI","ELSEVIER SCIENCE LONDON","0166-2236","1878-108X","NEUROSCIENCES","SCIE","22,858","13.837","Q1","1.63","13.71"%,
"Annual Review of Cell and Developmental Biology","ANNU REV CELL DEV BI","ANNUAL REVIEWS","1081-0706","1530-8995","CELL BIOLOGY","SCIE","11,884","13.827","Q1","1.54","1.35"%,
"Annual Review of Cell and Developmental Biology","ANNU REV CELL DEV BI","ANNUAL REVIEWS","1081-0706","1530-8995","DEVELOPMENTAL BIOLOGY","SCIE","11,884","13.827","Q1","1.54","1.35"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","ANNUAL REVIEWS","0362-1642","1545-4304","PHARMACOLOGY & PHARMACY","SCIE","9,017","13.82","Q1","2.25","2.15"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","ANNUAL REVIEWS","0362-1642","1545-4304","TOXICOLOGY","SCIE","9,017","13.82","Q1","2.25","2.15"%,
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","ELSEVIER SCIENCE LONDON","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","22,003","13.807","Q1","1.65","12.8"%,
"BRITISH JOURNAL OF SPORTS MEDICINE","BRIT J SPORT MED","BMJ PUBLISHING GROUP","0306-3674","1473-0480","SPORT SCIENCES","SCIE","30,989","13.8","Q1","3.05","19.37"%,
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","BMJ PUBLISHING GROUP","N/A","2051-1426","IMMUNOLOGY","SCIE","11,042","13.751","Q1","2.29","98.79"%,
"Journal for ImmunoTherapy of Cancer","J IMMUNOTHER CANCER","BMJ PUBLISHING GROUP","N/A","2051-1426","ONCOLOGY","SCIE","11,042","13.751","Q1","2.29","98.79"%,
"Annual Review of Medicine","ANNU REV MED","ANNUAL REVIEWS","0066-4219","1545-326X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","7,553","13.739","Q1","2.08","1.04"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE RESEARCH","2397-3374","2397-3374","MULTIDISCIPLINARY SCIENCES","SCIE","5,549","13.663","Q1","2.8","0.29"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE RESEARCH","2397-3374","2397-3374","NEUROSCIENCES","SCIE","5,549","13.663","Q1","2.8","0.29"%,
"Nature Human Behaviour","NAT HUM BEHAV","NATURE RESEARCH","2397-3374","2397-3374","PSYCHOLOGY, EXPERIMENTAL","SSCI","5,549","13.663","Q1","2.8","0.29"%,
"Annual Review of Food Science and Technology","ANNU REV FOOD SCI T","ANNUAL REVIEWS","1941-1413","1941-1421","FOOD SCIENCE & TECHNOLOGY","SCIE","3,253","13.635","Q1","1.39","1.47"%,
"GENOME BIOLOGY","GENOME BIOL","BMC","1474-760X","1474-760X","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","54,758","13.583","Q1","3.04","100"%,
"GENOME BIOLOGY","GENOME BIOL","BMC","1474-760X","1474-760X","GENETICS & HEREDITY","SCIE","54,758","13.583","Q1","3.04","100"%,
"Bone Research","BONE RES","SPRINGERNATURE","2095-4700","2095-6231","CELL & TISSUE ENGINEERING","SCIE","2,665","13.567","Q1","2.16","100"%,
"Nature Metabolism","NAT METAB","NATURE RESEARCH","N/A","2522-5812","ENDOCRINOLOGY & METABOLISM","SCIE","1,658","13.511","Q1","3.18","0.52"%,
"JNCI-Journal of the National Cancer Institute","JNCI-J NATL CANCER I","OXFORD UNIV PRESS INC","0027-8874","1460-2105","ONCOLOGY","SCIE","42,007","13.506","Q1","2.35","27.86"%,
"BRAIN","BRAIN","OXFORD UNIV PRESS","0006-8950","1460-2156","CLINICAL NEUROLOGY","SCIE","64,627","13.501","Q1","3.28","39.32"%,
"BRAIN","BRAIN","OXFORD UNIV PRESS","0006-8950","1460-2156","NEUROSCIENCES","SCIE","64,627","13.501","Q1","3.28","39.32"%,
"Nature Protocols","NAT PROTOC","NATURE RESEARCH","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS","SCIE","50,848","13.491","Q1","3.23","1.45"%,
"Journal of King Saud University-Computer and Information Sciences","J KING SAUD UNIV-COM","ELSEVIER","1319-1578","2213-1248","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","2,372","13.473","Q1","1.38","100"%,
"IEEE Transactions on Systems Man Cybernetics-Systems","IEEE T SYST MAN CY-S","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2216","2168-2232","AUTOMATION & CONTROL SYSTEMS","SCIE","16,901","13.451","Q1","2.92","1.43"%,
"IEEE Transactions on Systems Man Cybernetics-Systems","IEEE T SYST MAN CY-S","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2216","2168-2232","COMPUTER SCIENCE, CYBERNETICS","SCIE","16,901","13.451","Q1","2.92","1.43"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","ROYAL SOC CHEMISTRY","0265-0568","1460-4752","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","13,294","13.423","Q1","1.95","17.62"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","ROYAL SOC CHEMISTRY","0265-0568","1460-4752","CHEMISTRY, MEDICINAL","SCIE","13,294","13.423","Q1","1.95","17.62"%,
"NATURAL PRODUCT REPORTS","NAT PROD REP","ROYAL SOC CHEMISTRY","0265-0568","1460-4752","CHEMISTRY, ORGANIC","SCIE","13,294","13.423","Q1","1.95","17.62"%,
"INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS","INT J MANAG REV","WILEY","1460-8545","1468-2370","BUSINESS","SSCI","6,670","13.419","Q1","2.31","20.45"%,
"INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS","INT J MANAG REV","WILEY","1460-8545","1468-2370","MANAGEMENT","SSCI","6,670","13.419","Q1","2.31","20.45"%,
"BIOLOGICAL PSYCHIATRY","BIOL PSYCHIAT","ELSEVIER SCIENCE INC","0006-3223","1873-2402","NEUROSCIENCES","SCIE","50,157","13.382","Q1","2.91","19.58"%,
"BIOLOGICAL PSYCHIATRY","BIOL PSYCHIAT","ELSEVIER SCIENCE INC","0006-3223","1873-2402","PSYCHIATRY","SCIE","50,157","13.382","Q1","2.91","19.58"%,
"Polymer Reviews","POLYM REV","TAYLOR & FRANCIS INC","1558-3724","1558-3716","POLYMER SCIENCE","SCIE","2,958","13.282","Q1","0.95","3.95"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY","SCIE","77,926","13.281","Q1","1.93","7.1"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","CHEMISTRY, PHYSICAL","SCIE","77,926","13.281","Q1","1.93","7.1"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","77,926","13.281","Q1","1.93","7.1"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","NANOSCIENCE & NANOTECHNOLOGY","SCIE","77,926","13.281","Q1","1.93","7.1"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","PHYSICS, APPLIED","SCIE","77,926","13.281","Q1","1.93","7.1"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","PHYSICS, CONDENSED MATTER","SCIE","77,926","13.281","Q1","1.93","7.1"%,
"CHEMICAL ENGINEERING JOURNAL","CHEM ENG J","ELSEVIER SCIENCE SA","1385-8947","1873-3212","ENGINEERING, CHEMICAL","SCIE","180,395","13.273","Q1","2.04","1.78"%,
"CHEMICAL ENGINEERING JOURNAL","CHEM ENG J","ELSEVIER SCIENCE SA","1385-8947","1873-3212","ENGINEERING, ENVIRONMENTAL","SCIE","180,395","13.273","Q1","2.04","1.78"%,
"Materials Horizons","MATER HORIZ","ROYAL SOC CHEMISTRY","2051-6347","2051-6355","CHEMISTRY, MULTIDISCIPLINARY","SCIE","10,285","13.266","Q1","2.08","15.29"%,
"Materials Horizons","MATER HORIZ","ROYAL SOC CHEMISTRY","2051-6347","2051-6355","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","10,285","13.266","Q1","2.08","15.29"%,
"Molecular Plant","MOL PLANT","CELL PRESS","1674-2052","1752-9867","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","15,778","13.164","Q1","2.87","21.73"%,
"Molecular Plant","MOL PLANT","CELL PRESS","1674-2052","1752-9867","PLANT SCIENCES","SCIE","15,778","13.164","Q1","2.87","21.73"%,
"ALLERGY","ALLERGY","WILEY","0105-4538","1398-9995","ALLERGY","SCIE","25,131","13.146","Q1","2.1","23.52"%,
"ALLERGY","ALLERGY","WILEY","0105-4538","1398-9995","IMMUNOLOGY","SCIE","25,131","13.146","Q1","2.1","23.52"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","WILEY-V C H VERLAG GMBH","1863-8880","1863-8899","OPTICS","SCIE","9,217","13.138","Q1","2.31","15"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","WILEY-V C H VERLAG GMBH","1863-8880","1863-8899","PHYSICS, APPLIED","SCIE","9,217","13.138","Q1","2.31","15"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","WILEY-V C H VERLAG GMBH","1863-8880","1863-8899","PHYSICS, CONDENSED MATTER","SCIE","9,217","13.138","Q1","2.31","15"%,
"ACS Catalysis","ACS CATAL","AMER CHEMICAL SOC","2155-5435","2155-5435","CHEMISTRY, PHYSICAL","SCIE","92,236","13.084","Q1","1.89","9.25"%,
"Annual Review of Phytopathology","ANNU REV PHYTOPATHOL","ANNUAL REVIEWS","0066-4286","1545-2107","PLANT SCIENCES","SCIE","10,431","13.078","Q1","1.42","2.94"%,
"Advances in Nano Research","ADV NANO RES","TECHNO-PRESS","2287-237X","2287-2388","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","1,164","13.052","Q1","1.68","0"%,
"Advances in Nano Research","ADV NANO RES","TECHNO-PRESS","2287-237X","2287-2388","NANOSCIENCE & NANOTECHNOLOGY","SCIE","1,164","13.052","Q1","1.68","0"%,
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","WILEY","0742-3098","1600-079X","ENDOCRINOLOGY & METABOLISM","SCIE","12,492","13.007","Q1","3.51","10.5"%,
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","WILEY","0742-3098","1600-079X","NEUROSCIENCES","SCIE","12,492","13.007","Q1","3.51","10.5"%,
