Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,Upper Name
JCMS-Journal of Common Market Studies,JCMS-J COMMON MARK S,WILEY,0021-9886,1468-5965,POLITICAL SCIENCE,SSCI,"4,815",3.3,Q1,1.42,72.89%,JCMS-JOURNAL OF COMMON MARKET STUDIES
DEPRESSION AND ANXIETY,DEPRESS ANXIETY,WILEY,1091-4269,1520-6394,PSYCHOLOGY,SCIE,"12,010",3.3,Q1,1.31,80.56%,DEPRESSION AND ANXIETY
DEPRESSION AND ANXIETY,DEPRESS ANXIETY,WILEY,1091-4269,1520-6394,"PSYCHOLOGY, CLINICAL",SSCI,"12,010",3.3,Q1,1.31,80.56%,DEPRESSION AND ANXIETY
BRITISH JOURNAL OF PSYCHOLOGY,BRIT J PSYCHOL,WILEY,0007-1269,2044-8295,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"5,666",3.3,Q1,1.25,51.83%,BRITISH JOURNAL OF PSYCHOLOGY
PERMAFROST AND PERIGLACIAL PROCESSES,PERMAFROST PERIGLAC,WILEY,1045-6740,1099-1530,GEOLOGY,SCIE,"3,065",3.3,Q1,1.23,36.04%,PERMAFROST AND PERIGLACIAL PROCESSES
International Journal of Mental Health Nursing,INT J MENT HEALTH NU,WILEY,1445-8330,1447-0349,NURSING,"SCIE, SSCI","4,900",3.3,Q1,1.21,54.82%,INTERNATIONAL JOURNAL OF MENTAL HEALTH NURSING
RISK ANALYSIS,RISK ANAL,WILEY,0272-4332,1539-6924,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,"12,063",3.3,Q1,1.11,40.67%,RISK ANALYSIS
RISK ANALYSIS,RISK ANAL,WILEY,0272-4332,1539-6924,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"12,063",3.3,Q1,1.11,40.67%,RISK ANALYSIS
RISK ANALYSIS,RISK ANAL,WILEY,0272-4332,1539-6924,"SOCIAL SCIENCES, MATHEMATICAL METHODS",SSCI,"12,063",3.3,Q1,1.11,40.67%,RISK ANALYSIS
HUMAN BRAIN MAPPING,HUM BRAIN MAPP,WILEY,1065-9471,1097-0193,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"26,065",3.3,Q1,1.06,95.84%,HUMAN BRAIN MAPPING
Reproductive Medicine and Biology,REPROD MED BIOL,WILEY,1445-5781,1447-0578,OBSTETRICS & GYNECOLOGY,SCIE,"1,949",3.3,Q1,0.99,91.62%,REPRODUCTIVE MEDICINE AND BIOLOGY
Health Care Science,HEALTH CARE SCI,WILEY,2771-1749,2771-1757,HEALTH CARE SCIENCES & SERVICES,ESCI,184,3.3,Q1,0.95,97.67%,HEALTH CARE SCIENCE
Australian Accounting Review,AUST ACCOUNT REV,WILEY,1035-6908,1835-2561,"BUSINESS, FINANCE",SSCI,"1,182",3.3,Q1,0.84,48.33%,AUSTRALIAN ACCOUNTING REVIEW
INTERNATIONAL JOURNAL OF DERMATOLOGY,INT J DERMATOL,WILEY,0011-9059,1365-4632,DERMATOLOGY,SCIE,"10,244",3.3,Q1,0.72,17.81%,INTERNATIONAL JOURNAL OF DERMATOLOGY
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,WILEY,1069-6563,1553-2712,EMERGENCY MEDICINE,SCIE,"9,801",3.2,Q1,1.41,24.24%,ACADEMIC EMERGENCY MEDICINE
Review of Policy Research,REV POLICY RES,WILEY,1541-132X,1541-1338,POLITICAL SCIENCE,SSCI,"1,570",3.2,Q1,1.35,38.36%,REVIEW OF POLICY RESEARCH
Review of Policy Research,REV POLICY RES,WILEY,1541-132X,1541-1338,PUBLIC ADMINISTRATION,SSCI,"1,570",3.2,Q1,1.35,38.36%,REVIEW OF POLICY RESEARCH
Insect Conservation and Diversity,INSECT CONSERV DIVER,WILEY,1752-458X,1752-4598,ENTOMOLOGY,SCIE,"2,372",3.2,Q1,1.18,58.80%,INSECT CONSERVATION AND DIVERSITY
DEVELOPMENTAL SCIENCE,DEVELOPMENTAL SCI,WILEY,1363-755X,1467-7687,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"9,468",3.2,Q1,1.15,50.30%,DEVELOPMENTAL SCIENCE
ZAMM-Zeitschrift fur Angewandte Mathematik und Mechanik,ZAMM-Z ANGEW MATH ME,WILEY-V C H VERLAG GMBH,0044-2267,1521-4001,"MATHEMATICS, APPLIED",SCIE,"5,464",3.2,Q1,1.14,6.26%,ZAMM-ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND MECHANIK
SKIN RESEARCH AND TECHNOLOGY,SKIN RES TECHNOL,WILEY,0909-752X,1600-0846,DERMATOLOGY,SCIE,"4,526",3.2,Q1,1.11,83.66%,SKIN RESEARCH AND TECHNOLOGY
HEALTH SERVICES RESEARCH,HEALTH SERV RES,WILEY,0017-9124,1475-6773,HEALTH POLICY & SERVICES,SSCI,"10,117",3.2,Q1,1.1,39.01%,HEALTH SERVICES RESEARCH
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,INT J ROBUST NONLIN,WILEY,1049-8923,1099-1239,"MATHEMATICS, APPLIED",SCIE,"13,839",3.2,Q1,1.06,4.31%,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL
MEDICAL PHYSICS,MED PHYS,WILEY,0094-2405,2473-4209,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"32,379",3.2,Q1,1.04,28.61%,MEDICAL PHYSICS
DEVELOPMENT AND CHANGE,DEV CHANGE,WILEY,0012-155X,1467-7660,DEVELOPMENT STUDIES,SSCI,"4,272",3.2,Q1,1.03,60.56%,DEVELOPMENT AND CHANGE
HEALTH EXPECTATIONS,HEALTH EXPECT,WILEY,1369-6513,1369-7625,HEALTH POLICY & SERVICES,SSCI,"7,565",3.2,Q1,0.99,95.12%,HEALTH EXPECTATIONS
HEALTH EXPECTATIONS,HEALTH EXPECT,WILEY,1369-6513,1369-7625,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","7,565",3.2,Q1,0.99,95.12%,HEALTH EXPECTATIONS
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,J WORLD AQUACULT SOC,WILEY,0893-8849,1749-7345,FISHERIES,SCIE,"3,946",3.2,Q1,0.78,99.07%,JOURNAL OF THE WORLD AQUACULTURE SOCIETY
JOURNAL OF CONSUMER AFFAIRS,J CONSUM AFF,WILEY,0022-0078,1745-6606,ECONOMICS,SSCI,"2,755",3.2,Q1,0.73,27.52%,JOURNAL OF CONSUMER AFFAIRS
EVOLUTIONARY ANTHROPOLOGY,EVOL ANTHROPOL,WILEY,1060-1538,1520-6505,ANTHROPOLOGY,SSCI,"2,070",3.1,Q1,1.49,23.73%,EVOLUTIONARY ANTHROPOLOGY
DENTAL TRAUMATOLOGY,DENT TRAUMATOL,WILEY,1600-4469,1600-9657,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"4,075",3.1,Q1,1.26,28.90%,DENTAL TRAUMATOLOGY
ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA,ACTA OBSTET GYN SCAN,WILEY,0001-6349,1600-0412,OBSTETRICS & GYNECOLOGY,SCIE,"10,424",3.1,Q1,1.21,97.41%,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA
GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,GOVERNANCE,WILEY,0952-1895,1468-0491,POLITICAL SCIENCE,SSCI,"3,539",3.1,Q1,1.2,54.59%,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS
GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS,GOVERNANCE,WILEY,0952-1895,1468-0491,PUBLIC ADMINISTRATION,SSCI,"3,539",3.1,Q1,1.2,54.59%,GOVERNANCE-AN INTERNATIONAL JOURNAL OF POLICY ADMINISTRATION AND INSTITUTIONS
JCPP Advances,JCPP ADV,WILEY,2692-9384,2692-9384,PSYCHOLOGY,ESCI,629,3.1,Q1,1.1,97%,JCPP ADVANCES
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,BRIT J CLIN PSYCHOL,WILEY,0144-6657,2044-8260,"PSYCHOLOGY, CLINICAL",SSCI,"4,611",3.1,Q1,1.09,67.10%,BRITISH JOURNAL OF CLINICAL PSYCHOLOGY
STUDIES IN FAMILY PLANNING,STUD FAMILY PLANN,WILEY,0039-3665,1728-4465,DEMOGRAPHY,SSCI,"1,843",3.1,Q1,1.02,53.95%,STUDIES IN FAMILY PLANNING
STUDIES IN FAMILY PLANNING,STUD FAMILY PLANN,WILEY,0039-3665,1728-4465,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"1,843",3.1,Q1,1.02,53.95%,STUDIES IN FAMILY PLANNING
GEOGRAPHICAL JOURNAL,GEOGR J,WILEY,0016-7398,1475-4959,GEOGRAPHY,SSCI,"3,411",3.1,Q1,1.01,59.21%,GEOGRAPHICAL JOURNAL
AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT,AFR DEV REV,WILEY,1017-6772,1467-8268,DEVELOPMENT STUDIES,SSCI,"1,768",3.1,Q1,0.97,4.83%,AFRICAN DEVELOPMENT REVIEW-REVUE AFRICAINE DE DEVELOPPEMENT
JOURNAL OF APPLIED ECONOMETRICS,J APPL ECONOMET,WILEY,0883-7252,1099-1255,ECONOMICS,SSCI,"7,995",3.1,Q1,0.83,33.33%,JOURNAL OF APPLIED ECONOMETRICS
JOURNAL OF APPLIED ECONOMETRICS,J APPL ECONOMET,WILEY,0883-7252,1099-1255,"SOCIAL SCIENCES, MATHEMATICAL METHODS",SSCI,"7,995",3.1,Q1,0.83,33.33%,JOURNAL OF APPLIED ECONOMETRICS
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,AM J IND MED,WILEY,0271-3586,1097-0274,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SCIE,"5,915",3.1,Q1,0.77,30.34%,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE
Molecular Informatics,MOL INFORM,WILEY-V C H VERLAG GMBH,1868-1743,1868-1751,MATHEMATICAL & COMPUTATIONAL BIOLOGY,SCIE,"2,204",3.1,Q1,0.76,29.66%,MOLECULAR INFORMATICS
Scientifica,SCIENTIFICA,WILEY,2090-908X,2090-908X,BIOLOGY,ESCI,"2,282",3.1,Q1,0.64,100%,SCIENTIFICA
Natural Sciences,NAT SCI-GER,WILEY,2698-6248,2698-6248,MULTIDISCIPLINARY SCIENCES,ESCI,544,3.1,Q1,0.53,95.52%,NATURAL SCIENCES
Insect Science,INSECT SCI,WILEY,1672-9609,1744-7917,ENTOMOLOGY,SCIE,"4,459",3,Q1,1.44,17.38%,INSECT SCIENCE
GENDER WORK AND ORGANIZATION,GENDER WORK ORGAN,WILEY,0968-6673,1468-0432,WOMENS STUDIES,SSCI,"5,544",3,Q1,1.39,62.26%,GENDER WORK AND ORGANIZATION
Human Behavior and Emerging Technologies,HUM BEHAV EMERG TECH,WILEY,N/A,2578-1863,"PSYCHOLOGY, MULTIDISCIPLINARY",ESCI,"2,262",3,Q1,1.34,100%,HUMAN BEHAVIOR AND EMERGING TECHNOLOGIES
Transboundary and Emerging Diseases,TRANSBOUND EMERG DIS,WILEY,1865-1674,1865-1682,VETERINARY SCIENCES,SCIE,"9,486",3,Q1,1.25,72.16%,TRANSBOUNDARY AND EMERGING DISEASES
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRIT J SOC PSYCHOL,WILEY,0144-6665,2044-8309,"PSYCHOLOGY, SOCIAL",SSCI,"6,802",3,Q1,1.13,65.14%,BRITISH JOURNAL OF SOCIAL PSYCHOLOGY
European Journal of Sport Science,EUR J SPORT SCI,WILEY,1746-1391,1536-7290,SPORT SCIENCES,SCIE,"6,993",3,Q1,1.12,51.76%,EUROPEAN JOURNAL OF SPORT SCIENCE
Nursing Inquiry,NURS INQ,WILEY,1320-7881,1440-1800,NURSING,"SCIE, SSCI","1,888",3,Q1,1.12,56.44%,NURSING INQUIRY
JOURNAL OF APPLIED BEHAVIOR ANALYSIS,J APPL BEHAV ANAL,WILEY,N/A,1938-3703,"PSYCHOLOGY, CLINICAL",SSCI,"5,988",3,Q1,1.1,24.62%,JOURNAL OF APPLIED BEHAVIOR ANALYSIS
Topics in Cognitive Science,TOP COGN SCI,WILEY,1756-8757,1756-8765,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"2,640",3,Q1,1.09,52.26%,TOPICS IN COGNITIVE SCIENCE
Journal of Osteoporosis,J OSTEOPOROS,WILEY,2090-8059,2042-0064,ORTHOPEDICS,ESCI,337,3,Q1,0.92,100%,JOURNAL OF OSTEOPOROSIS
CHIRALITY,CHIRALITY,WILEY,0899-0042,1520-636X,"CHEMISTRY, ORGANIC",SCIE,"3,374",3,Q1,0.67,19.63%,CHIRALITY
European Policy Analysis,EUR POLICY ANAL,WILEY,N/A,2380-6567,POLITICAL SCIENCE,ESCI,493,2.9,Q1,1.48,65.33%,EUROPEAN POLICY ANALYSIS
European Policy Analysis,EUR POLICY ANAL,WILEY,N/A,2380-6567,PUBLIC ADMINISTRATION,ESCI,493,2.9,Q1,1.48,65.33%,EUROPEAN POLICY ANALYSIS
JOURNAL OF NURSING SCHOLARSHIP,J NURS SCHOLARSHIP,WILEY,1527-6546,1547-5069,NURSING,"SCIE, SSCI","4,622",2.9,Q1,1.27,29.06%,JOURNAL OF NURSING SCHOLARSHIP
ORAL DISEASES,ORAL DIS,WILEY,1354-523X,1601-0825,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"9,330",2.9,Q1,1.09,17.32%,ORAL DISEASES
Molecular Oral Microbiology,MOL ORAL MICROBIOL,WILEY,2041-1006,2041-1014,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"1,578",2.9,Q1,0.94,24.27%,MOLECULAR ORAL MICROBIOLOGY
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,INT J NUMER METH ENG,WILEY,0029-5981,1097-0207,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"21,824",2.9,Q1,0.9,28.52%,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,INT J NUMER METH ENG,WILEY,0029-5981,1097-0207,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,"21,824",2.9,Q1,0.9,28.52%,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING
Journal of Agrarian Change,J AGRAR CHANGE,WILEY,1471-0358,1471-0366,DEVELOPMENT STUDIES,SSCI,"1,790",2.9,Q1,0.82,52.04%,JOURNAL OF AGRARIAN CHANGE
Journal of Agrarian Change,J AGRAR CHANGE,WILEY,1471-0358,1471-0366,ECONOMICS,SSCI,"1,790",2.9,Q1,0.82,52.04%,JOURNAL OF AGRARIAN CHANGE
Journal of Psychiatric and Mental Health Nursing,J PSYCHIATR MENT HLT,WILEY,1351-0126,1365-2850,NURSING,"SCIE, SSCI","3,681",2.9,Q1,0.82,42.16%,JOURNAL OF PSYCHIATRIC AND MENTAL HEALTH NURSING
GRASS AND FORAGE SCIENCE,GRASS FORAGE SCI,WILEY,0142-5242,1365-2494,AGRONOMY,SCIE,"2,790",2.9,Q1,0.74,33.87%,GRASS AND FORAGE SCIENCE
Plasma Processes and Polymers,PLASMA PROCESS POLYM,WILEY-V C H VERLAG GMBH,1612-8850,1612-8869,"PHYSICS, FLUIDS & PLASMAS",SCIE,"4,993",2.9,Q1,0.61,25.59%,PLASMA PROCESSES AND POLYMERS
SEDIMENTOLOGY,SEDIMENTOLOGY,WILEY,0037-0746,1365-3091,GEOLOGY,SCIE,"10,176",2.8,Q1,1.51,36.61%,SEDIMENTOLOGY
Anthropology Today,ANTHROPOL TODAY,WILEY,0268-540X,1467-8322,ANTHROPOLOGY,ESCI,774,2.8,Q1,1.15,53.01%,ANTHROPOLOGY TODAY
ACTA OPHTHALMOLOGICA,ACTA OPHTHALMOL,WILEY,1755-375X,1755-3768,OPHTHALMOLOGY,SCIE,"11,433",2.8,Q1,1.03,57.84%,ACTA OPHTHALMOLOGICA
Journal of Hepato-Biliary-Pancreatic Sciences,J HEPATO-BIL-PAN SCI,WILEY,1868-6974,1868-6982,SURGERY,SCIE,"5,180",2.8,Q1,1,16.72%,JOURNAL OF HEPATO-BILIARY-PANCREATIC SCIENCES
JOURNAL OF AGRONOMY AND CROP SCIENCE,J AGRON CROP SCI,WILEY,0931-2250,1439-037X,AGRONOMY,SCIE,"4,354",2.8,Q1,0.98,23.68%,JOURNAL OF AGRONOMY AND CROP SCIENCE
PSYCHOPHYSIOLOGY,PSYCHOPHYSIOLOGY,WILEY,0048-5772,1469-8986,"PSYCHOLOGY, EXPERIMENTAL",SSCI,"15,783",2.8,Q1,0.95,49.55%,PSYCHOPHYSIOLOGY
PM&R,PM&R,WILEY,1934-1482,1934-1563,REHABILITATION,SCIE,"5,474",2.8,Q1,0.89,23.27%,PM&R
PM&R,PM&R,WILEY,1934-1482,1934-1563,SPORT SCIENCES,SCIE,"5,474",2.8,Q1,0.89,23.27%,PM&R
RAND JOURNAL OF ECONOMICS,RAND J ECON,WILEY,0741-6261,1756-2171,ECONOMICS,SSCI,"5,381",2.8,Q1,0.89,34.62%,RAND JOURNAL OF ECONOMICS
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,INT J GERIATR PSYCH,WILEY,0885-6230,1099-1166,GERONTOLOGY,SSCI,"11,184",2.8,Q1,0.87,42.63%,INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,J PLANT NUTR SOIL SC,WILEY-V C H VERLAG GMBH,1436-8730,1522-2624,AGRONOMY,SCIE,"5,372",2.8,Q1,0.69,56.46%,JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,COMMUN PUR APPL MATH,WILEY,0010-3640,1097-0312,MATHEMATICS,SCIE,"11,434",2.7,Q1,2.04,28.57%,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS
COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,COMMUN PUR APPL MATH,WILEY,0010-3640,1097-0312,"MATHEMATICS, APPLIED",SCIE,"11,434",2.7,Q1,2.04,28.57%,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS
Pediatric Obesity,PEDIATR OBES,WILEY,2047-6302,2047-6310,PEDIATRICS,SCIE,"3,252",2.7,Q1,1.39,34.21%,PEDIATRIC OBESITY
ANTIPODE,ANTIPODE,WILEY,0066-4812,1467-8330,GEOGRAPHY,SSCI,"6,532",2.7,Q1,1.24,55.81%,ANTIPODE
SOCIOLOGY OF HEALTH & ILLNESS,SOCIOL HEALTH ILL,WILEY,0141-9889,1467-9566,"SOCIAL SCIENCES, BIOMEDICAL",SSCI,"5,767",2.7,Q1,1.07,72.79%,SOCIOLOGY OF HEALTH & ILLNESS
SOCIOLOGY OF HEALTH & ILLNESS,SOCIOL HEALTH ILL,WILEY,0141-9889,1467-9566,SOCIOLOGY,SSCI,"5,767",2.7,Q1,1.07,72.79%,SOCIOLOGY OF HEALTH & ILLNESS
Journal of Experimental Orthopaedics,J EXP ORTHOP,WILEY,N/A,2197-1153,SURGERY,ESCI,"1,911",2.7,Q1,1.04,99.56%,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS
Colorectal Disease,COLORECTAL DIS,WILEY,1462-8910,1463-1318,SURGERY,SCIE,"8,173",2.7,Q1,0.9,38.05%,COLORECTAL DISEASE
JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,J PEDIATR GASTR NUTR,WILEY,0277-2116,1536-4801,PEDIATRICS,SCIE,"14,139",2.7,Q1,0.88,17.23%,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION
FRESHWATER BIOLOGY,FRESHWATER BIOL,WILEY,0046-5070,1365-2427,MARINE & FRESHWATER BIOLOGY,SCIE,"13,534",2.7,Q1,0.87,45.41%,FRESHWATER BIOLOGY
Geographical Research,GEOGR RES-AUST,WILEY,1745-5863,1745-5871,GEOGRAPHY,SSCI,"1,363",2.7,Q1,0.85,68.37%,GEOGRAPHICAL RESEARCH
JOURNAL OF VEGETATION SCIENCE,J VEG SCI,WILEY,1100-9233,1654-1103,FORESTRY,SCIE,"8,837",2.7,Q1,0.82,38.54%,JOURNAL OF VEGETATION SCIENCE
FISHERIES OCEANOGRAPHY,FISH OCEANOGR,WILEY,1054-6006,1365-2419,FISHERIES,SCIE,"2,274",2.7,Q1,0.81,32.81%,FISHERIES OCEANOGRAPHY
JOURNAL OF FORECASTING,J FORECASTING,WILEY,0277-6693,1099-131X,ECONOMICS,SSCI,"3,044",2.7,Q1,0.81,19.69%,JOURNAL OF FORECASTING
NMR IN BIOMEDICINE,NMR BIOMED,WILEY,0952-3480,1099-1492,SPECTROSCOPY,SCIE,"7,869",2.7,Q1,0.81,42.68%,NMR IN BIOMEDICINE
PRENATAL DIAGNOSIS,PRENATAL DIAG,WILEY,0197-3851,1097-0223,OBSTETRICS & GYNECOLOGY,SCIE,"6,759",2.7,Q1,0.79,33.21%,PRENATAL DIAGNOSIS
MANAGERIAL AND DECISION ECONOMICS,MANAG DECIS ECON,JOHN WILEY & SONS LTD,0143-6570,1099-1468,ECONOMICS,SSCI,"4,177",2.7,Q1,0.75,8.02%,MANAGERIAL AND DECISION ECONOMICS
JOURNAL OF REGIONAL SCIENCE,J REGIONAL SCI,WILEY,0022-4146,1467-9787,ECONOMICS,SSCI,"3,212",2.7,Q1,0.7,37.91%,JOURNAL OF REGIONAL SCIENCE
Nursing in Critical Care,NURS CRIT CARE,WILEY,1362-1017,1478-5153,NURSING,"SCIE, SSCI","2,357",2.6,Q1,1.36,37.57%,NURSING IN CRITICAL CARE
DISASTERS,DISASTERS,WILEY,0361-3666,1467-7717,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"3,142",2.6,Q1,1.09,59.75%,DISASTERS
INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,INT J GYNECOL OBSTET,WILEY,0020-7292,1879-3479,OBSTETRICS & GYNECOLOGY,SCIE,"13,634",2.6,Q1,1.09,30.36%,INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS
Population Space and Place,POPUL SPACE PLACE,WILEY,1544-8444,1544-8452,DEMOGRAPHY,SSCI,"3,516",2.6,Q1,1.04,54.58%,POPULATION SPACE AND PLACE
Population Space and Place,POPUL SPACE PLACE,WILEY,1544-8444,1544-8452,GEOGRAPHY,SSCI,"3,516",2.6,Q1,1.04,54.58%,POPULATION SPACE AND PLACE
Wiley Interdisciplinary Reviews: Forensic Science,WIRES FORENSIC SCI,WILEY,N/A,2573-9468,CRIMINOLOGY & PENOLOGY,ESCI,414,2.6,Q1,1,36.26%,WILEY INTERDISCIPLINARY REVIEWS: FORENSIC SCIENCE
Wiley Interdisciplinary Reviews: Forensic Science,WIRES FORENSIC SCI,WILEY,N/A,2573-9468,"MEDICINE, LEGAL",ESCI,414,2.6,Q1,1,36.26%,WILEY INTERDISCIPLINARY REVIEWS: FORENSIC SCIENCE
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,J POLICY ANAL MANAG,WILEY,N/A,1520-6688,ECONOMICS,SSCI,"3,075",2.6,Q1,0.98,27.45%,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT
JOURNAL OF SOCIOLINGUISTICS,J SOCIOLING,WILEY,1360-6441,1467-9841,LINGUISTICS,SSCI,"1,726",2.6,Q1,0.97,45.45%,JOURNAL OF SOCIOLINGUISTICS
Maternal and Child Nutrition,MATERN CHILD NUTR,WILEY,1740-8695,1740-8709,PEDIATRICS,SCIE,"5,764",2.6,Q1,0.92,94.82%,MATERNAL AND CHILD NUTRITION
SUICIDE AND LIFE-THREATENING BEHAVIOR,SUICIDE LIFE-THREAT,WILEY,0363-0234,1943-278X,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"5,622",2.6,Q1,0.84,33.44%,SUICIDE AND LIFE-THREATENING BEHAVIOR
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,J ZOOL SYST EVOL RES,WILEY,0947-5745,1439-0469,ZOOLOGY,SCIE,"1,558",2.6,Q1,0.78,100%,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH
Nursing Philosophy,NURS PHILOS,WILEY,1466-7681,1466-769X,NURSING,"SCIE, SSCI",955,2.5,Q1,1.39,46.08%,NURSING PHILOSOPHY
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,OTOLARYNG HEAD NECK,WILEY,0194-5998,1097-6817,OTORHINOLARYNGOLOGY,SCIE,"17,668",2.5,Q1,1.27,18.63%,OTOLARYNGOLOGY-HEAD AND NECK SURGERY
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,OTOLARYNG HEAD NECK,WILEY,0194-5998,1097-6817,SURGERY,SCIE,"17,668",2.5,Q1,1.27,18.63%,OTOLARYNGOLOGY-HEAD AND NECK SURGERY
DYSLEXIA,DYSLEXIA,WILEY,1076-9242,1099-0909,"EDUCATION, SPECIAL",SSCI,"1,209",2.5,Q1,1.25,48.57%,DYSLEXIA
DYSLEXIA,DYSLEXIA,WILEY,1076-9242,1099-0909,REHABILITATION,SSCI,"1,209",2.5,Q1,1.25,48.57%,DYSLEXIA
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,PAEDIATR PERINAT EP,WILEY,0269-5022,1365-3016,PEDIATRICS,SCIE,"3,449",2.5,Q1,1.13,54.19%,PAEDIATRIC AND PERINATAL EPIDEMIOLOGY
BIRTH-ISSUES IN PERINATAL CARE,BIRTH-ISS PERINAT C,WILEY,0730-7659,1523-536X,NURSING,"SCIE, SSCI","3,089",2.5,Q1,1.1,50.97%,BIRTH-ISSUES IN PERINATAL CARE
BIRTH-ISSUES IN PERINATAL CARE,BIRTH-ISS PERINAT C,WILEY,0730-7659,1523-536X,PEDIATRICS,SCIE,"3,089",2.5,Q1,1.1,50.97%,BIRTH-ISSUES IN PERINATAL CARE
International Wound Journal,INT WOUND J,WILEY,1742-4801,1742-481X,SURGERY,SCIE,"8,614",2.5,Q1,1.06,97.76%,INTERNATIONAL WOUND JOURNAL
WORLD JOURNAL OF SURGERY,WORLD J SURG,WILEY,0364-2313,1432-2323,SURGERY,SCIE,"18,124",2.5,Q1,1.04,29.01%,WORLD JOURNAL OF SURGERY
Journal of Policy and Practice in Intellectual Disabilities,J POLICY PRACT INTEL,WILEY,1741-1122,1741-1130,REHABILITATION,SSCI,"1,137",2.5,Q1,0.99,62.86%,JOURNAL OF POLICY AND PRACTICE IN INTELLECTUAL DISABILITIES
Annals of Public and Cooperative Economics,ANN PUBLIC COOP ECON,WILEY,1370-4788,1467-8292,ECONOMICS,SSCI,"1,118",2.5,Q1,0.8,35.34%,ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS
SYSTEM DYNAMICS REVIEW,SYST DYNAM REV,WILEY,0883-7066,1099-1727,"SOCIAL SCIENCES, MATHEMATICAL METHODS",SSCI,"1,625",2.5,Q1,0.73,53.62%,SYSTEM DYNAMICS REVIEW
